Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Guam,13.4667,144.7833,Battle-related deaths (number of people),VC.BTL.DETH,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,15.5,-90.25,Battle-related deaths (number of people),VC.BTL.DETH,GTM,83,72,67,58,37,27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea,11.0,-10.0,Battle-related deaths (number of people),VC.BTL.DETH,GIN,..,..,..,..,..,..,..,..,..,..,217,430,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,12.0,-15.0,Battle-related deaths (number of people),VC.BTL.DETH,GNB,..,..,2,..,..,..,..,..,505,199,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guyana,5.0,-59.0,Battle-related deaths (number of people),VC.BTL.DETH,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,19.0,-72.4167,Battle-related deaths (number of people),VC.BTL.DETH,HTI,..,160,..,..,..,..,..,..,..,..,..,..,..,..,207,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,15.0,-86.5,Battle-related deaths (number of people),VC.BTL.DETH,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,47.0,20.0,Battle-related deaths (number of people),VC.BTL.DETH,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,65.0,-18.0,Battle-related deaths (number of people),VC.BTL.DETH,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,20.0,77.0,Battle-related deaths (number of people),VC.BTL.DETH,IND,2324,3149,3078,1503,1172,836,828,986,811,2025,2814,1154,1797,1512,1374,1382,1372,1084,1071,1115,1029,433,409,384,463,495,652,..
Indonesia,-5.0,120.0,Battle-related deaths (number of people),VC.BTL.DETH,IDN,72,58,39,..,..,..,..,51,30,213,286,278,466,863,915,213,..,..,..,..,..,..,..,..,..,..,..,..
